doc_code,tag_note,tag_name
I-46,E. Santa Fe - South,1ST NE
L-8,E. Hickory - E. Center,1ST NE
L-40,E. Center - E. Oak Ave,1st NE
Q-48,E. Booth - E. Provine,1st NE
Q-121,1st NE,1st NE
AB-36,E. Pine Bluff - E. Booth,1st NE
Z-5,E. Oak Ave - E. Center,1st NE
Z-47,E. Santa Fe - E. Provine,1st NE
BA-49,E. Center,1st NE
N-15,W. Santa Fe - N. Main,1st NW
C-112,W. Cherry - W. Craigo Alley,1st NW
L-155,W. Plum - 1 Blk North,1st NW
M-93,W. Provine - E. Santa Fe,1st NW
S-40,W. Cherry - W. Provine,1st NW
MM-4,1st NW,1st NW
SS-19,1st NW and N. Main,1st NW
SS-20,1st NW and N. Main,1st NW
K-1,"Plaza (Downtown Square - Paris, Tx)",1st NW
K-23,"Plaza (Downtown Square - Paris, Tx)",1st NW
K-36,"Plaza (Downtown Square - Paris, Tx)",1st NW
K-37,"Plaza (Downtown Square - Paris, Tx)",1st NW
AA-3,"Plaza (Downtown Square - Paris, Tx)",1st NW
K-48,"Plaza (Downtown Square - Paris, Tx)",1st NW
I-42,Paris Milling Company (1300 Blk),1st SW
M-134,W. Austin,1st SW
MM-35,W. Kaufman - W. Hearne,1st SW
CC-7,1st SW - 4th SW (South of Jail),1st SW
K-1,"Plaza (Downtown Square - Paris, Tx)",1st SW
K-23,"Plaza (Downtown Square - Paris, Tx)",1st SW
K-36,"Plaza (Downtown Square - Paris, Tx)",1st SW
K-37,"Plaza (Downtown Square - Paris, Tx)",1st SW
AA-3,"Plaza (Downtown Square - Paris, Tx)",1st SW
K-48,"Plaza (Downtown Square - Paris, Tx)",1st SW
I-46,E. Santa fe - E. Phillips Alley,2nd NE
M-82,E. Provine - E. Santa Fe,2nd NE
P-52,E. Provine - E. Santa Fe,2nd NE
P-53,E. Provine - E. Santa Fe,2nd NE
Z-29,E. booth - E. Provine,2nd NE
Z-5,E. Oak Ave - E. Center,2nd NE
Z-50,E. Provine - E. Santa Fe,2nd NE
