doc_id,doc_type,doc_date,doc_name,plan_desc,physical_index,date_edited,has_water,has_sewer,has_drainage,has_easement,has_street,has_utilities,has_addressing,is_as_built,needs_rescan,needs_delete,water_size,water_material,sewer_size,sewer_material,server_location
1,Construction,8/27/1963,Sanitarium of Paris Plot Plan,,A-1,6/12/2013,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
2,Construction,11/20/1967,Chism Cemetery and Railroad,Water Extension,A-2,10/12/2012,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
3,Construction,3/18/1970,Curb 5th SW (Between Brown and Parr),Curb Layout,A-3,10/12/2012,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,
4,Construction,,Curb on Pine Bluff,Between 28th NE and 29th NE,A-4,10/12/2012,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,
5,Construction,1/10/1966,Curb for E Cherry and 20th,Curb Layout,A-5,10/12/2012,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
6,Construction,12/11/1967,East Cedar Water Line,Water Extension,A-6,10/12/2012,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
7,Construction,12/14/1967,Sewer Cedar and 17th SE,Sewer Extension,A-7,10/16/2012,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
8,Construction,11/20/1967,Water 14th SE and Clarksville,Water Extension,A-8,5/10/2013,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
9,Construction,12/26/1967,Sewer Price and 19th NE,1800 blk + Extension,A-9,10/16/2012,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
10,Construction,11/5/1968,Curb 14th SE near Clarksville,Curb Layout,A-10,10/16/2012,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,
11,Construction,1/17/1968,Sewer Neatherly and 17th SE,Extension,A-11,10/16/2012,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
12,Construction,2/2/1968,Sewer Jackson Between 10th and 12th SE,Extension,A-12,10/16/2012,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
13,Construction,2/13/1968,Water 8in 28th SE,Extension,A-13,10/16/2012,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
14,Construction,2/9/1968,Curb 17th NW and Bonham,Curb Layout,A-14,10/16/2012,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
15,Construction,3/12/1968,Water 2200bllk Pine Bluff,2200 Blk + Layout,A-15,10/16/2012,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
16,Construction,3/14/1968,Water 100 blk 5th NW,Extension,A-16,10/16/2012,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
17,Construction,3/16/1968,Water Grove and 16th NE,Extension,A-17,10/16/2012,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
