tag_original,tag_type,tag_desc,tag_name,tag_id
Lift Stations (Sewer),Infrastructure,,Lift Stations (Sewer),1
Sanitary Sewer Mains (Private),Infrastructure,,Sanitary Sewer Mains (Private),2
Sewer (Improvments),Infrastructure,,Sewer (Improvments),3
Wastewater Treatment Plant,Infrastructure,,Wastewater Treatment Plant,4
Water Distribution,Infrastructure,,Water Distribution,5
Water Mains,Infrastructure,,Water Mains,6
Water Mains (Private Property),Infrastructure,,Water Mains (Private Property),7
Water Pump - Booster Station,Infrastructure,,Water Pump - Booster Station,8
Water Reservoirs,Infrastructure,,Water Reservoirs,9
Water Storage,Infrastructure,,Water Storage,10
Water Towers (Elevated),Infrastructure,,Water Towers (Elevated),11
Water Treatment Plant,Infrastructure,,Water Treatment Plant,12
Aerial,Misc,,Aerial,13
Airport (Cox Field),Misc,,Airport (Cox Field),14
Airport (Old City Airport),Misc,,Airport (Old City Airport),15
Alleys,Misc,,Alleys,16
Business,Misc,,Business,17
Camp Maxey,Misc,,Camp Maxey,18
Campbell Soup Company,Misc,,Campbell Soup Company,19
Charts,Misc,,Charts,20
City Buildings,Misc,,City Buildings,21
City Limits,Misc,,City Limits,22
City Zoning Maps,Misc,,City Zoning Maps,23
Detail Standards,Misc,,Detail Standards,24
Drainage Projects,Misc,,Drainage Projects,25
Easements,Misc,,Easements,26
Farmer's Market,Misc,,Farmer's Market,27
Industrial Sites,Misc,,Industrial Sites,28
Lakes,Misc,,Lakes,29
Lamar County,Misc,,Lamar County,30
Lamar County Fairgrounds,Misc,,Lamar County Fairgrounds,31
Landfill,Misc,,Landfill,32
Miscellaneous,Misc,,Miscellaneous,33
Paris Housing Projects,Misc,,Paris Housing Projects,34
Parks,Misc,,Parks,35
Private Property,Misc,,Private Property,36
Railroad,Misc,,Railroad,37
Sanborn Maps,Misc,,Sanborn Maps,38
Schools,Misc,,Schools,39
Street (Improvements),Misc,,Street (Improvements),40
Subdivisions,Misc,,Subdivisions,41
Texas Highway Department (TxDot),Misc,,Texas Highway Department (TxDot),42
Traffic,Misc,,Traffic,43
10th NE,Street,,10th NE St,44
10th NW,Street,,10th NW St,45
10th SE,Street,,10th SE St,46
10th SW,Street,,10th SW St,47
11th NE,Street,,11th NE St,48
11th NW,Street,,11th NW St,49
11th SE,Street,,11th SE St,50
11th SW,Street,,11th SW St,51
12 1/2 NW,Street,,12 1/2 NW St,52
12th NE,Street,,12th NE St,53
12th NW,Street,,12th NW St,54
12th SE,Street,,12th SE St,55
12th SW,Street,,12th SW St,56
13th NE,Street,,13th NE St,57
13th NW,Street,,13th NW St,58
13th SE,Street,,13th SE St,59
13th SW,Street,,13th SW St,60
14th NE,Street,,14th NE St,61
14th NW,Street,,14th NW St,62
14th SE,Street,,14th SE St,63
15th NE,Street,,15th NE St,64
15th NW,Street,,15th NW St,65
15th SE,Street,,15th SE St,66
15th SW,Street,,15th SW St,67
16th NE,Street,,16th NE St,68
16th NW,Street,,16th NW St,69
16th SE,Street,,16th SE St,70
16th SW,Street,,16th SW St,71
17th NE,Street,,17th NE St,72
17th NW,Street,,17th NW St,73
17th SE,Street,,17th SE St,74
17th SW,Street,,17th SW St,75
18th NE,Street,,18th NE St,76
18th NW,Street,,18th NW St,77
18th SE,Street,,18th SE St,78
18th SW,Street,,18th SW St,79
19th NE,Street,,19th NE St,80
19th NW,Street,,19th NW St,81
19th SE,Street,,19th SE St,82
19th SW,Street,,19th SW St,83
1ST NE,Street,,1st NE St,84
1st NW,Street,,1st NW St,85
1st SE,Street,,1st SE St,86
1st SW,Street,,1st SW St,87
20th NE,Street,,20th NE St,88
20th NW,Street,,20th NW St,89
20th SE,Street,,20th SE St,90
21st NE,Street,,21st NE St,91
21st NW,Street,,21st NW St,92
21st SE,Street,,21st SE St,93
21st SW,Street,,21st SW St,94
22nd NE,Street,,22nd NE St,95
22nd NW,Street,,22nd NW St,96
22nd SE,Street,,22nd SE St,97
22nd SW,Street,,22nd SW St,98
23rd NW,Street,,23rd NW St,99
23rd SE,Street,,23rd SE St,100
24th NW,Street,,24th NW St,101
24th SE,Street,,24th SE St,102
25th NE,Street,,25th NE St,103
25th NW,Street,,25th NW St,104
25th SE,Street,,25th SE St,105
25th SW,Street,,25th SW St,106
26th NE,Street,,26th NE St,107
26th SE,Street,,26th SE St,108
26th SW,Street,,26th SW St,109
27th NE,Street,,27th NE St,110
27th NW,Street,,27th NW St,111
27th SE,Street,,27th SE St,112
27th SW,Street,,27th SW St,113
28th NE,Street,,28th NE St,114
28th NW,Street,,28th NW St,115
28th SE,Street,,28th SE St,116
28th SW,Street,,28th SW St,117
29th NE,Street,,29th NE St,118
29th NW,Street,,29th NW St,119
29th SE,Street,,29th SE St,120
29th SW,Street,,29th SW St,121
2nd NE,Street,,2nd NE St,122
2nd NW,Street,,2nd NW St,123
2nd SW,Street,,2nd SW St,124
30th NE,Street,,30th NE St,125
30th NW,Street,,30th NW St,126
30th SE,Street,,30th SE St,127
30th SW,Street,,30th SW St,128
31st NE,Street,,31st NE St,129
31st NW,Street,,31st NW St,130
31st SE,Street,,31st SE St,131
31st SW,Street,,31st SW St,132
32nd NE,Street,,32nd NE St,133
32nd NW,Street,,32nd NW St,134
